1603311580,2213491,2020-10-21 20:19:40
1603311633,2213492,2020-10-21 20:20:33
1603311875,2213493,2020-10-21 20:24:35
1603311935,2213494,2020-10-21 20:25:35
1603311956,2213495,2020-10-21 20:25:56
1603312072,2213496,2020-10-21 20:27:52
1603312083,2213497,2020-10-21 20:28:03
1603312113,2213498,2020-10-21 20:28:33
1603312239,2213499,2020-10-21 20:30:39
1603312257,2213500,2020-10-21 20:30:57
1603312356,2213501,2020-10-21 20:32:36
1603312710,2213502,2020-10-21 20:38:30
1603312739,2213503,2020-10-21 20:38:59
1603312900,2213504,2020-10-21 20:41:40
1603312973,2213505,2020-10-21 20:42:53
1603313816,2213506,2020-10-21 20:56:56
1603313892,2213507,2020-10-21 20:58:12
1603314370,2213508,2020-10-21 21:06:10
1603314505,2213509,2020-10-21 21:08:25
1603314511,2213510,2020-10-21 21:08:31
1603314767,2213511,2020-10-21 21:12:47
1603314778,2213512,2020-10-21 21:12:58
1603314857,2213513,2020-10-21 21:14:17
1603314986,2213514,2020-10-21 21:16:26
1603315016,2213515,2020-10-21 21:16:56
1603315109,2213516,2020-10-21 21:18:29
1603315118,2213517,2020-10-21 21:18:38
1603315150,2213518,2020-10-21 21:19:10
1603315238,2213519,2020-10-21 21:20:38
1603315664,2213520,2020-10-21 21:27:44
1603315843,2213521,2020-10-21 21:30:43
1603315928,2213522,2020-10-21 21:32:08
1603316122,2213523,2020-10-21 21:35:22
1603316435,2213524,2020-10-21 21:40:35
1603316656,2213525,2020-10-21 21:44:16
1603317054,2213526,2020-10-21 21:50:54
1603317093,2213527,2020-10-21 21:51:33
1603317171,2213528,2020-10-21 21:52:51
1603317210,2213529,2020-10-21 21:53:30
1603317513,2213530,2020-10-21 21:58:33
1603317610,2213531,2020-10-21 22:00:10
1603318012,2213532,2020-10-21 22:06:52
1603318131,2213533,2020-10-21 22:08:51
1603318216,2213534,2020-10-21 22:10:16
1603318255,2213535,2020-10-21 22:10:55
1603318695,2213536,2020-10-21 22:18:15
1603319107,2213537,2020-10-21 22:25:07
1603319238,2213538,2020-10-21 22:27:18
1603319354,2213539,2020-10-21 22:29:14
1603319612,2213540,2020-10-21 22:33:32
1603319615,2213541,2020-10-21 22:33:35
1603319656,2213542,2020-10-21 22:34:16
1603319745,2213543,2020-10-21 22:35:45
1603319769,2213544,2020-10-21 22:36:09
1603319813,2213545,2020-10-21 22:36:53
1603319875,2213546,2020-10-21 22:37:55
1603319883,2213547,2020-10-21 22:38:03
1603319966,2213548,2020-10-21 22:39:26
1603320097,2213549,2020-10-21 22:41:37
1603320455,2213550,2020-10-21 22:47:35
1603320650,2213551,2020-10-21 22:50:50
1603320746,2213552,2020-10-21 22:52:26
1603320807,2213553,2020-10-21 22:53:27
1603320814,2213554,2020-10-21 22:53:34
1603320863,2213555,2020-10-21 22:54:23
1603320934,2213556,2020-10-21 22:55:34
1603320935,2213557,2020-10-21 22:55:35
1603321037,2213558,2020-10-21 22:57:17
1603321182,2213559,2020-10-21 22:59:42
1603321230,2213560,2020-10-21 23:00:30
1603321532,2213561,2020-10-21 23:05:32
1603321559,2213562,2020-10-21 23:05:59
1603321585,2213563,2020-10-21 23:06:25
1603321616,2213564,2020-10-21 23:06:56
1603321640,2213565,2020-10-21 23:07:20
1603321761,2213566,2020-10-21 23:09:21
1603322097,2213567,2020-10-21 23:14:57
1603322281,2213568,2020-10-21 23:18:01
1603322328,2213569,2020-10-21 23:18:48
1603322351,2213570,2020-10-21 23:19:11
1603322398,2213571,2020-10-21 23:19:58
1603322429,2213572,2020-10-21 23:20:29
1603322776,2213573,2020-10-21 23:26:16
1603322904,2213574,2020-10-21 23:28:24
1603322993,2213575,2020-10-21 23:29:53
1603323416,2213576,2020-10-21 23:36:56
1603323613,2213577,2020-10-21 23:40:13
1603323994,2213578,2020-10-21 23:46:34
1603324755,2213579,2020-10-21 23:59:15
1603324963,2213580,2020-10-22 00:02:43
1603325002,2213581,2020-10-22 00:03:22
